RESPONSE_ID,AGE,GENDER,RACE,EDUCATION,PROFESSION,APPS_USED,FREQUENCY_OF_USE,DURATION_OF_USE,MODALITY,USE_CASES,USE_CASES_MORE_DETAILS,DELETE_HISTORY_AWARE,EXPORT_CHAT_AWARE,OPT_OUT_AWARE,BEHAVIOURS_ENGAGED,SHARE_PII,SHARE_DEMOGRAPHICS,SHARE_SEXUAL_ORIENTATION,SHARE_BANKING,SHARE_CREDIT_SCORE,SHARE_PURCHASES,SHARE_RELIGION,SHARE_HOBBIES,SHARE_PERSONAL_LIFE,SHARE_HEALTH,SHARE_PHOTOS,SHARE_WORK,TRAINING_EXPECTATIONS,DELETE_CHATS_LOSE_ACCESS,DELETE_CHATS_ERASURE,DELETE_CHATS_UNLEARN,DELETE_ACCOUNT_LOSE_ACCESS,DELETE_ACCOUNT_DATA_ERASURE,DELETE_ACCOUNT_CHAT_ERASURE,DELETE_ACCOUNT_UNLEARN,TRAINING_AWARE,TRAINING_CONCERN,TRAINING_POSSIBLE,DEV_ACCESS_AWARE,DEV_ACCESS_CONCERNED,DEV_ACCESS_POSSIBLE,LEGAL_ACCESS_AWARE,LEGAL_ACCESS_CONCERN,LEGAL_ACCESS_POSSIBLE,HEALTH_AWARE,HEALTH_CONCERN,HEALTH_POSSIBLE,FINANCE_AWARE,FINANCE_CONCERN,FINANCE_POSSIBLE,EXTRACTION_AWARE,EXTRACTION_CONCERN,EXTRACTION_POSSIBLE,LEAK_AWARE,LEAK_CONCERN,LEAK_POSSIBLE,MEM_AWARE,MEM_CONCERN,MEM_POSSIBLE,EXTENSION_AWARE,EXTENSION_CONCERN,EXTENSION_POSSIBLE,DECEPTION_AWARE,DECEPTION_CONCERN,DECEPTION_POSSIBLE,Challenges,Solutions
R_2PT3OXp19rp16tg,35 - 44,Man,White,Bachelor's degree,Software Engineer,"ChatGPT,Google Gemini/Bard,Microsoft Copilot/Bing,Github Copilot",Daily,3 - 6 months,"Desktop/Web app,Mobile app,Plugin/Browser extension,Application Programming Interface (API)","Work or job-related tasks (e.g., analysing data, generating reports),Creative purposes (e.g., brainstorming ideas, writing creative content),Other, please specify",Studying,Was aware,Was aware,Was aware,"Read about how AI chatbots handle user data from another source,Deleted/cleared my chat history,Opted out of my chat history being used to train models,Used a VPN or private browser while using an AI chatbot to make it harder to track me",Not at all willing,Very willing,Very willing,Not at all willing,Moderately willing,Quite willing,Quite willing,Very willing,Quite willing,Very willing,Slightly willing,Quite willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Within a few months,Immediately,Within a few days,Within a few days,Within a few months,Yes,A little concerned,Yes,Yes,Moderately concerned,Yes,Yes,Very concerned,Yes,Yes,Moderately concerned,Yes,Yes,Very concerned,Yes,No,Quite concerned,Yes,No,Very concerned,Yes,Yes,A little concerned,Yes,Yes,Very concerned,Yes,No,Not at all concerned,Yes,The lack of options about how our data is handled by those companies isn't that clear in some cases - with some companies.,A better regulation and protection around that - something analogous to GDPR in the EU.
R_8S1OyQ9kDLBsUWs,35 - 44,Woman,White,A-Level or equivalent,Special Needs Support Assistant,ChatGPT,Weekly,6 - 12 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Creative purposes (e.g., brainstorming ideas, writing creative content),Other, please specify",Translating crochet patterns into english,Was not aware,Was not aware,Was not aware,,Not at all willing,Slightly willing,Slightly willing,Not at all willing,Not at all willing,Slightly willing,Not at all willing,Quite willing,Not at all willing,Moderately willing,Not at all willing,Slightly willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,This will never happen,Immediately,Immediately,Immediately,This will never happen,No,Not at all concerned,Yes,No,Moderately concerned,Yes,Yes,Not at all concerned,Yes,No,Quite concerned,Yes,No,Very concerned,Yes,No,A little concerned,Yes,Yes,A little concerned,Yes,No,Not at all concerned,Yes,No,Quite concerned,Yes,No,Very concerned,Yes,"No, I don't enter any information I would consider private.",Clear and transparent user settings when setting up account
R_8GIUP00bTbelBo5,25 - 34,Man,White,Bachelor's degree,Network Engineer,"ChatGPT,Google Gemini/Bard,Microsoft Copilot/Bing",Monthly,6 - 12 months,"Desktop/Web app,Mobile app,Plugin/Browser extension,Application Programming Interface (API)","Work or job-related tasks (e.g., analysing data, generating reports),Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships)",,Was not aware,Was aware,Was aware,"Removed personal information from prompts either before or after I submit them,Deleted/cleared my chat history,Opted out of my chat history being used to train models,Used a VPN or private browser while using an AI chatbot to make it harder to track me",Not at all willing,Not at all willing,Quite willing,Not at all willing,Slightly willing,Moderately willing,Not at all willing,Moderately willing,Slightly willing,Quite willing,Slightly willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,Yes,Quite concerned,Yes,Yes,Quite concerned,Yes,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,Yes,A little concerned,Yes,Yes,Quite concerned,Yes,Yes,Moderately concerned,Yes,No because i know what to and what not to share,Good self research and training
R_2TS05cQv6JogliU,45 - 54,Man,White,Bachelor's degree,graphic designer,"ChatGPT,Other, Perplexity",Monthly,6 - 12 months,"Desktop/Web app,Mobile app","Information or advice about general topics (world events, recipes, trivia, etc.),Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was not aware,Was not aware,Was not aware,"Removed personal information from prompts either before or after I submit them,Deleted/cleared my chat history,Created an anonymous email and/or pseudonym to use an AI chatbot so that my chats are not linked to me,Used a VPN or private browser while using an AI chatbot to make it harder to track me",Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,This will never happen,This will never happen,Immediately,Within a few weeks,Within a few weeks,This will never happen,Yes,Not at all concerned,Yes,No,Moderately concerned,Yes,No,Not at all concerned,Yes,No,Not at all concerned,Yes,No,A little concerned,Yes,No,A little concerned,Yes,No,Moderately concerned,Yes,Yes,Moderately concerned,Yes,No,A little concerned,Yes,No,Not at all concerned,Yes,I tend not to divulge any personal information. ,regulations!
R_8qgR97ZwS8ioPrH,35 - 44,Man,White,Master's degree,Architect,ChatGPT,Daily,6 - 12 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails)",,Was not aware,Was not aware,Was not aware,"Deleted/cleared my chat history,Used a VPN or private browser while using an AI chatbot to make it harder to track me",Not at all willing,Slightly willing,Quite willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Moderately willing,Slightly willing,Slightly willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,Moderately concerned,Yes,No,Moderately concerned,No,No,Very concerned,Yes,No,Quite concerned,No,No,Very concerned,Yes,No,Quite concerned,Yes,No,Very concerned,Yes,No,Quite concerned,Yes,No,Quite concerned,Yes,No,Quite concerned,No,"no, nothing challenging",not at the moment
R_8qgpcrF4nltMdfX,55+,Man,White,Bachelor's degree,"sustainability manager, improving aviation environmental impacts",ChatGPT,Monthly,3 - 6 months,Desktop/Web app,"Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships)",,Was not aware,Was not aware,Was not aware,"Deleted/cleared my chat history,Used a VPN or private browser while using an AI chatbot to make it harder to track me",Not at all willing,Moderately willing,Very willing,Not at all willing,Moderately willing,Slightly willing,Quite willing,Quite willing,Quite willing,Quite willing,Not at all willing,Slightly willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,Not at all concerned,Yes,No,Moderately concerned,Yes,No,Quite concerned,Yes,No,A little concerned,Yes,No,Not at all concerned,No,No,A little concerned,No,No,Quite concerned,Yes,No,Moderately concerned,Yes,No,Not at all concerned,Yes,No,A little concerned,Yes,no,being vigilante
R_8eYLL5QYzLzsArT,55+,Woman,White,Master's degree,,ChatGPT,Monthly,6 - 12 months,Mobile app,"Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was not aware,Was not aware,Was not aware,"Deleted/cleared my chat history,Used a VPN or private browser while using an AI chatbot to make it harder to track me",Not at all willing,Not at all willing,Moderately willing,Not at all willing,Not at all willing,Not at all willing,Moderately willing,Moderately willing,Not at all willing,Quite willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,This will never happen,Immediately,This will never happen,Immediately,This will never happen,Yes,Not at all concerned,Yes,No,Very concerned,Yes,No,Very concerned,Yes,No,Moderately concerned,Yes,Yes,Very concerned,Yes,No,Very concerned,No,Yes,Very concerned,Yes,No,A little concerned,Yes,Yes,Very concerned,Yes,No,Not at all concerned,Yes,This is something I hadn’t really considered as I don’t use it for sensitive information ,N/A
R_2N8IGgWPvbd7zzR,18-24,Woman,Black,Bachelor's degree,Student medicine,"ChatGPT,Google Gemini/Bard,Character.AI",Daily,3 - 6 months,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports)",,Was not aware,Was not aware,Was not aware,Deleted/cleared my chat history,Very willing,Very willing,Very willing,Not at all willing,Slightly willing,Moderately willing,Moderately willing,Very willing,Very willing,Very willing,Moderately willing,Quite willing,My data will continue to be used to train models.,Immediately,Immediately,This will never happen,Immediately,Immediately,Immediately,This will never happen,Yes,Moderately concerned,Yes,No,Not at all concerned,No,Yes,Quite concerned,Yes,Yes,Moderately concerned,Yes,No,Very concerned,Yes,Yes,Not at all concerned,Yes,Yes,Moderately concerned,Yes,Yes,Not at all concerned,Yes,Yes,A little concerned,Yes,No,Very concerned,Yes,None,None
R_83peSd4tOh47yEn,55+,Woman,White,A-Level or equivalent,Business owner,ChatGPT,Monthly,1 - 3 months,Mobile app,"Information or advice about general topics (world events, recipes, trivia, etc.)",,Was not aware,Was not aware,Was not aware,Deleted/cleared my chat history,Slightly willing,Moderately willing,Moderately willing,Not at all willing,Slightly willing,Slightly willing,Slightly willing,Slightly willing,Slightly willing,Slightly willing,Not at all willing,Slightly willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,Within a few years,Immediately,Immediately,Within a few months,Within a few months,Yes,Moderately concerned,Yes,No,Moderately concerned,Yes,No,Moderately concerned,Yes,No,Moderately concerned,Yes,No,Moderately concerned,Yes,No,A little concerned,No,Yes,Quite concerned,,Yes,Moderately concerned,Yes,No,Moderately concerned,Yes,No,A little concerned,No,No,Passwords 
R_8vdePep7QM71tO1,25 - 34,Woman,White,Bachelor's degree,Waitress,ChatGPT,Monthly,More than a year,Desktop/Web app,"Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was not aware,Was aware,Was not aware,Deleted/cleared my chat history,Moderately willing,Moderately willing,Quite willing,Not at all willing,Quite willing,Slightly willing,Quite willing,Quite willing,Not at all willing,Moderately willing,Not at all willing,Slightly willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Within a few weeks,Within a few weeks,This will never happen,Immediately,Immediately,Within a few weeks,Immediately,Yes,Moderately concerned,Yes,Yes,A little concerned,Yes,No,Not at all concerned,No,Yes,Moderately concerned,Yes,No,A little concerned,No,No,A little concerned,No,Yes,A little concerned,Yes,Yes,Moderately concerned,Yes,No,Not at all concerned,No,No,Not at all concerned,No,Just worried about what they do with data ,
R_8Zn9okziNx5Z8fT,25 - 34,Woman,White,Bachelor's degree,Teacher,ChatGPT,Weekly,3 - 6 months,"Desktop/Web app,Mobile app","Personal admin (e.g., job applications, personal emails),Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was aware,Was aware,Was aware,Used a VPN or private browser while using an AI chatbot to make it harder to track me,Moderately willing,Moderately willing,Quite willing,Not at all willing,Slightly willing,Slightly willing,Very willing,Moderately willing,Quite willing,Moderately willing,Moderately willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Within a few months,Within a few months,Within a few months,Within a few months,Within a few months,Immediately,Immediately,No,Quite concerned,Yes,No,Moderately concerned,Yes,No,Very concerned,Yes,No,Moderately concerned,Yes,No,Not at all concerned,Yes,Yes,Moderately concerned,Yes,No,Very concerned,Yes,No,Quite concerned,Yes,No,Very concerned,Yes,No,Very concerned,Yes,No,More research into them as they seem more recently used
R_203wUbcGt6GAzkt,35 - 44,Man,Asian,Master's degree,Business Analyst,"ChatGPT,Google Gemini/Bard,Microsoft Copilot/Bing",Daily,6 - 12 months,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships),Creative purposes (e.g., brainstorming ideas, writing creative content)",,Was aware,Was not aware,Was aware,"Removed personal information from prompts either before or after I submit them,Deleted/cleared my chat history,Opted out of my chat history being used to train models,Created an anonymous email and/or pseudonym to use an AI chatbot so that my chats are not linked to me,Used a VPN or private browser while using an AI chatbot to make it harder to track me",Not at all willing,Slightly willing,Slightly willing,Not at all willing,Slightly willing,Slightly willing,Slightly willing,Moderately willing,Not at all willing,Slightly willing,Not at all willing,Slightly willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,Moderately concerned,Yes,No,Very concerned,Yes,Yes,Moderately concerned,Yes,Yes,A little concerned,Yes,No,A little concerned,Yes,No,Very concerned,Yes,Yes,Very concerned,Yes,Yes,Moderately concerned,Yes,No,Very concerned,Yes,No,Moderately concerned,Yes,"Does not work when accessing through VPN, privacy settings return back to default (non private) settings","An AI Chatbot with privacy as a core focus, much like some browsers such as Brave and Duck Duck Go"
